timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.52968E+15,2,8,25,13,5,-11,-10,0
1.52968E+15,-1,21,-11,2,5,18,12,5
1.52968E+15,-1,-2,21,-6,-4,-9,-7,0
1.52968E+15,-4,-3,-7,-5,-6,-11,-13,-6
1.52968E+15,4,-4,-6,0,0,4,15,12
1.52968E+15,-5,-11,-4,-1,-5,-13,-10,-2
1.52968E+15,3,12,1,4,5,-2,0,5
1.52968E+15,0,-11,2,1,1,7,0,0
1.52968E+15,-3,14,-7,-4,-3,3,-6,-5
1.52968E+15,-1,-18,21,2,0,-12,-11,-8
1.52968E+15,1,-9,-29,-12,-2,11,25,10
1.52968E+15,-2,5,2,1,1,-7,-12,-11
1.52968E+15,1,7,9,5,-3,-6,-10,-6
1.52968E+15,2,-12,-13,1,1,12,-3,3
1.52968E+15,-4,5,-3,-4,-2,-1,3,2
1.52968E+15,4,15,14,7,2,-2,4,4
1.52968E+15,-3,-7,9,-6,-4,-3,1,1
1.52968E+15,3,5,-18,1,0,3,12,-1
1.52968E+15,-2,-17,-18,-4,0,-6,-18,-4
1.52968E+15,-1,0,-16,-4,0,1,8,1
1.52968E+15,1,-1,29,8,0,-5,-1,-5
1.52968E+15,-2,5,3,-1,-4,-6,-9,3
1.52968E+15,-3,2,-20,-5,-3,5,16,-9
1.52968E+15,1,-13,-6,4,7,0,-6,3
1.52968E+15,-3,6,15,11,1,0,-17,-13
1.52968E+15,-10,-8,-12,-27,-9,6,26,-8
1.52968E+15,6,3,11,8,3,-4,-8,6
1.52968E+15,1,3,-1,-5,-2,-4,-4,-10
1.52968E+15,1,-4,4,-3,1,6,13,11
1.52968E+15,4,-6,-5,8,4,0,10,5
1.52968E+15,-3,8,2,2,-5,-12,-7,1
1.52968E+15,-4,-7,4,-4,-1,12,6,-12
1.52968E+15,7,9,1,3,1,-6,-10,-3
1.52968E+15,-5,-6,-26,-3,1,-3,0,0
1.52968E+15,-1,-5,19,-1,-4,-1,-8,-7
1.52968E+15,0,-11,-9,-5,-2,-3,1,8
1.52968E+15,-2,2,-14,-7,-3,-1,-2,-4
1.52968E+15,1,0,21,9,5,7,-14,-6
1.52968E+15,5,2,1,16,1,-9,-11,6
1.52968E+15,-1,13,-2,-9,0,8,6,5
1.52968E+15,-3,-5,3,1,4,1,15,-8
1.52968E+15,3,6,-12,-4,-1,-3,8,14
1.52968E+15,0,-3,-15,3,3,9,-13,-3
1.52968E+15,1,11,30,7,-4,-5,0,0
1.52968E+15,-4,-22,3,-4,-5,-6,16,10
1.52968E+15,1,-3,-6,-5,-2,-6,-9,-2
1.52968E+15,0,-4,-6,-1,3,6,6,-5
1.52968E+15,-2,0,-20,-6,-2,-4,9,-1
1.52968E+15,4,-2,9,3,2,5,1,22
